Site,Tree,Year,Month,Day,Lat,Lon,HET1_F,HET1_MNW,HET1_MW,HET2_F,HET2_MNW,HET2_MW
70,70,2010,5,11,23.73629,-109.83987,0,0,0,0,0,0
70,70,2010,5,11,23.73629,-109.83987,0,0,0,0,0,0
70,70,2010,5,11,23.73629,-109.83987,0,0,0,0,0,0
70,70,2010,5,11,23.73629,-109.83987,0,0,0,0,0,0
70,70,2010,5,11,23.73629,-109.83987,0,0,0,0,0,0
70,70,2010,5,11,23.73629,-109.83987,0,0,0,0,0,0
70,70,2010,5,11,23.73629,-109.83987,0,0,0,0,0,0
70,70,2010,5,11,23.73629,-109.83987,0,0,0,0,0,0
70,70,2010,5,11,23.73629,-109.83987,0,0,0,0,0,0
70,70,2010,5,11,23.73629,-109.83987,0,0,0,0,0,0
70,70,2010,5,11,23.73629,-109.83987,0,0,0,0,0,0
70,70,2010,5,11,23.73629,-109.83987,0,0,0,0,0,0
70,70,2010,5,11,23.73629,-109.83987,0,0,0,0,0,0
70,70,2010,5,11,23.73629,-109.83987,0,0,0,0,0,0
70,70,2010,5,11,23.73629,-109.83987,0,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,3,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,2,0,1
70,201,2010,5,11,23.72735,-109.85768,0,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,3,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,1,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,0,0,0
70,201,2010,5,11,23.72735,-109.85768,0,0,0,0,0,0
70,56,2010,5,12,23.73893,-109.81664,3,0,1,0,0,0
70,56,2010,5,12,23.73893,-109.81664,0,0,0,0,0,0
70,56,2010,5,12,23.73893,-109.81664,0,0,0,0,0,0
70,56,2010,5,12,23.73893,-109.81664,0,0,0,0,0,0
70,56,2010,5,12,23.73893,-109.81664,0,0,0,0,0,0
70,56,2010,5,12,23.73893,-109.81664,0,0,0,0,0,0
70,56,2010,5,12,23.73893,-109.81664,0,0,0,0,0,0
70,56,2010,5,12,23.73893,-109.81664,0,0,0,0,0,0
70,56,2010,5,12,23.73893,-109.81664,0,0,0,0,0,0
70,56,2010,5,12,23.73893,-109.81664,0,0,0,0,0,0
70,56,2010,5,12,23.73893,-109.81664,0,0,0,1,0,0
70,56,2010,5,12,23.73893,-109.81664,0,0,0,0,0,0
70,56,2010,5,12,23.73893,-109.81664,0,0,1,0,0,0
70,56,2010,5,12,23.73893,-109.81664,0,0,0,0,0,0
70,56,2010,5,12,23.73893,-109.81664,0,0,0,2,0,0
70,56,2010,5,12,23.73893,-109.81664,0,0,0,0,0,0
70,56,2010,5,12,23.73893,-109.81664,0,0,0,0,0,0
70,56,2010,5,12,23.73893,-109.81664,0,0,0,0,0,0
70,56,2010,5,12,23.73893,-109.81664,0,0,0,0,0,0
70,8,2010,5,12,23.73801,-109.81612,0,0,0,0,0,0
70,8,2010,5,12,23.73801,-109.81612,0,0,0,0,0,0
70,8,2010,5,12,23.73801,-109.81612,0,0,0,0,0,0
70,8,2010,5,12,23.73801,-109.81612,0,0,0,0,0,1
70,8,2010,5,12,23.73801,-109.81612,0,0,0,0,0,0
70,8,2010,5,12,23.73801,-109.81612,0,0,0,0,0,0
70,8,2010,5,12,23.73801,-109.81612,0,0,0,0,0,0
70,58,2010,5,13,23.73897,-109.81637,2,1,2,3,0,1
70,58,2010,5,13,23.73897,-109.81637,5,3,0,1,0,0
70,58,2010,5,13,23.73897,-109.81637,1,1,0,0,0,0
70,58,2010,5,13,23.73897,-109.81637,3,0,0,0,0,0
70,58,2010,5,13,23.73897,-109.81637,1,2,0,0,0,0
70,58,2010,5,13,23.73897,-109.81637,5,0,1,1,0,0
70,58,2010,5,13,23.73897,-109.81637,1,3,2,2,0,1
70,58,2010,5,13,23.73897,-109.81637,1,0,0,1,0,0
70,58,2010,5,13,23.73897,-109.81637,0,0,3,2,0,0
70,58,2010,5,13,23.73897,-109.81637,0,0,1,0,0,0
70,58,2010,5,13,23.73897,-109.81637,0,1,0,2,0,0
70,58,2010,5,13,23.73897,-109.81637,0,1,1,0,0,0
70,58,2010,5,13,23.73897,-109.81637,0,1,1,0,4,0
70,58,2010,5,13,23.73897,-109.81637,0,4,0,0,0,0
70,58,2010,5,13,23.73897,-109.81637,0,1,0,0,0,0
70,58,2010,5,13,23.73897,-109.81637,0,0,0,2,0,1
70,58,2010,5,13,23.73897,-109.81637,1,0,1,0,0,0
70,58,2010,5,13,23.73897,-109.81637,0,1,0,1,0,0
70,58,2010,5,13,23.73897,-109.81637,3,1,1,0,0,0
70,58,2010,5,13,23.73897,-109.81637,1,3,0,2,1,0
70,58,2010,5,13,23.73897,-109.81637,1,1,1,0,0,2
70,58,2010,5,13,23.73897,-109.81637,1,0,0,4,1,1
70,58,2010,5,13,23.73897,-109.81637,0,0,0,0,0,0
70,38,2010,5,13,23.73657,-109.8484,1,0,0,0,0,0
70,38,2010,5,13,23.73657,-109.8484,0,0,0,0,0,0
70,38,2010,5,13,23.73657,-109.8484,1,1,0,0,0,0
70,38,2010,5,13,23.73657,-109.8484,0,0,0,0,0,0
70,38,2010,5,13,23.73657,-109.8484,0,0,0,1,0,1
70,38,2010,5,13,23.73657,-109.8484,0,0,0,0,0,0
70,38,2010,5,13,23.73657,-109.8484,0,2,0,0,0,0
70,38,2010,5,13,23.73657,-109.8484,0,0,0,0,0,0
70,38,2010,5,13,23.73657,-109.8484,0,0,0,0,0,0
70,38,2010,5,13,23.73657,-109.8484,0,0,0,0,0,0
70,38,2010,5,13,23.73657,-109.8484,1,1,0,0,0,0
70,38,2010,5,13,23.73657,-109.8484,0,0,0,0,0,0
70,38,2010,5,13,23.73657,-109.8484,0,0,0,0,0,0
70,38,2010,5,13,23.73657,-109.8484,0,0,0,0,0,0
96,34,2010,5,16,24.03062,-110.13102,11,12,2,7,0,1
96,34,2010,5,16,24.03062,-110.13102,37,14,14,3,0,1
96,34,2010,5,16,24.03062,-110.13102,3,4,6,0,1,0
96,34,2010,5,16,24.03062,-110.13102,2,8,3,0,0,0
96,34,2010,5,16,24.03062,-110.13102,11,15,7,1,1,0
96,34,2010,5,16,24.03062,-110.13102,9,13,9,1,1,1
96,34,2010,5,16,24.03062,-110.13102,5,9,2,0,1,0
96,34,2010,5,16,24.03062,-110.13102,21,24,13,0,0,0
96,34,2010,5,16,24.03062,-110.13102,1,4,1,1,1,0
96,34,2010,5,16,24.03062,-110.13102,12,9,2,2,1,0
96,34,2010,5,16,24.03062,-110.13102,38,37,13,4,0,0
96,34,2010,5,16,24.03062,-110.13102,1,7,2,1,1,0
96,34,2010,5,16,24.03062,-110.13102,26,19,10,1,2,0
96,34,2010,5,16,24.03062,-110.13102,11,13,4,0,0,0
96,34,2010,5,16,24.03062,-110.13102,2,9,2,0,0,0
96,34,2010,5,16,24.03062,-110.13102,2,5,5,0,0,0
96,34,2010,5,16,24.03062,-110.13102,25,23,8,0,1,0
96,34,2010,5,16,24.03062,-110.13102,8,7,3,0,0,0
96,34,2010,5,16,24.03062,-110.13102,0,0,2,0,0,0
96,34,2010,5,16,24.03062,-110.13102,0,6,3,0,0,0
96,34,2010,5,16,24.03062,-110.13102,5,3,3,0,0,0
96,34,2010,5,16,24.03062,-110.13102,4,1,2,1,0,1
96,34,2010,5,16,24.03062,-110.13102,2,4,8,0,0,0
96,34,2010,5,16,24.03062,-110.13102,7,16,20,0,0,0
96,34,2010,5,16,24.03062,-110.13102,23,23,3,0,0,1
96,34,2010,5,16,24.03062,-110.13102,2,1,3,0,1,0
96,34,2010,5,16,24.03062,-110.13102,22,25,19,0,0,1
96,34,2010,5,16,24.03062,-110.13102,0,7,1,1,0,0
96,34,2010,5,16,24.03062,-110.13102,1,6,1,0,0,0
96,34,2010,5,16,24.03062,-110.13102,3,2,5,0,1,2
96,34,2010,5,22,24.03062,-110.13102,19,6,10,0,0,0
96,34,2010,5,22,24.03062,-110.13102,12,6,5,0,0,0
96,34,2010,5,22,24.03062,-110.13102,4,2,2,0,0,0
96,34,2010,5,22,24.03062,-110.13102,10,10,9,0,0,1
96,34,2010,5,22,24.03062,-110.13102,11,6,3,1,0,1
96,34,2010,5,22,24.03062,-110.13102,1,6,8,6,2,4
96,34,2010,5,22,24.03062,-110.13102,15,9,11,0,0,0
96,34,2010,5,22,24.03062,-110.13102,2,4,1,0,0,1
