head_width_mm,head_height_mm,Survival
605.14165,615.34676,0
612.81993,590.09778,0
614.51382,573.09298,0
624.46524,586.3047,0
639.13945,539.03448,0
646.05154,590.07267,0
650.6125,619.64746,0
659.06895,591.53188,0
663.02408,619.22067,0
663.8502,575.05284,0
670.6225,636.9467,0
681.76134,655.82054,0
691.14828,618.8965,1
699.0758,614.88247,0
711.94134,646.29528,1
712.49643,640.57673,1
713.96276,614.33443,1
714.60578,655.05341,1
715.44216,623.98153,1
719.35342,638.21208,1
723.10002,673.53625,1
729.68265,654.56103,1
734.6669,664.3,1
736.3224,718.217,1
742.44409,640.76581,1
743.73597,668.89456,1
753.99568,649.65761,1
755.87875,679.73641,1
760.01148,707.91848,1
766.082,648.68769,1
769.73099,667.88365,1
772.48753,678.65502,1
774.12406,651.92343,1
775.2331,662.09371,1
779.35217,710.92552,1
786.09803,698.95456,1
790.9232,850.50588,1
